stmt,shrine,for
これからも谷佳樹くんがお仕事に恵まれより良いご縁がずっと続きますように 楽しい思い出がいっぱいできますに♡,st2,1
持病が治療しますように こどもが授かりますように,st2,0
良縁に恵まれ、穏やかに過ごせる日々が訪れますように,st2,0
ミニーになれますように,st2,0
後遺症なく無事に回復されますように ?????,st2,1
平療祈願　山本さんの病気が1日も早く完全に治りますように,st2,1
ミュージカル2022年「ジョセフ・アンド・アメージング・テクニカラードリームコート」に当選しますように,st2,0
自分に合った良い仕事が見つかります様に健康であります様に,st2,0
合格できますように,st2,0
合格祈願　女子美合格,st2,0
家内安全 元気で楽しく幸せに生きる,st3,1
元気な赤ちゃんが生まれますように,st3,1
家内安全 健やかな1年でありますように,st3,1
元気でボケないで永生き出来ます様に．ポックリ行けますように！,st3,0
早くコロナがおちついて幸せにくらしていけますように,st3,1
〇〇くんの合格を祈って！,st3,1
足が今よりももっと走くなれますように,st3,0
中学受験で第一志望に合格できますように,st3,0
皆様が健康でありますように,st3,1
これからも今の職場、職種で無事に働けますように。何事もなく無事に過ごせ、自分の希望通りに生きられますように。家内安全・交通安全・無病息災・気持平穏,st3,0
家内安全,st3,1
ピアノ上手になれますように。漢字上手になれますように。,st3,0
学業成就合格祈願,st5,1
全運UPしますように,st5,1
プロアイスリーガとして成功し、幸せな人生が送れます？？？,st5,1
〇〇がいつまでもずーっと幸せで仲良く過ごせますように・・・＊今年もたくさんあそぼうね💓いつも沢山の笑顔をありがとう‼︎ MMK,st5,1
〇〇の留学が、周りの人々に恵まれ、事故、病気、けが無く、充実したものになりますように。,st5,1
令和5年2月5日 社会福祉士国家試験に合格し、ソーシャルワーカーとして、時代や名助けを必要とする方々のために、役割を全うすることができますように。令和4年10月1日,st5,1
〇〇のカナダ留学無事に楽しく有意義に充実したものになりますように。母より,st5,1
〇〇が菅報に乗りますように 2021年8月,st5,1
キチンとした生活リズムでくらせる様になりたい。いつも病気と隣合わせの人とも仲良く付き合い、健康でいたい。令和4年1月15日,st5,0
〇〇が1年間、イギリスで健康に過ごせますように。コロナ、サル痘にかかりませんように‼︎　2022/7/32,st5,1
家族みんなが健康で幸せでありますように。大金が手に入りますように（宝くじ億単位当たりますように） 千葉県？？市？？村上 はるみ,st5,1
〇〇の米国留学が実り多く、最高の1年となりますよう、お願い申し上げます。無事帰国！ 千葉県？？市,st5,1
（株）トリニテジャパン代表？？？？が完全回復して一日も早く社会復帰できるよう救ってください。最短・最良の状態で回復させて下さい。2022年11月16日 高橋美？子,st5,1
東京都文京区より、イギリス留学2022.8/27~2023.7/26楽しく過ごせます様に,st5,1
泡沫パーティーズ 全国制覇 さきすき最高,st5,1
Snow Manのみんながこの先健康に過ごせますように 令和4年1月22日 宮上？？,st5,1
慶應義塾大学文学部に現役で合格できますように。令和四年一月四日 関根理子,st5,0
安全で充実したアメリカ留学になりますように。令和4年8月3日 ？？美空,st5,1
坂本勇人選手が日本一の主将になれますように。？？？？の筋が回復しますように…。2022325　ちよ,st5,1
？？の病気が早く治り、また家族皆で平穏に暮らせますように、？？、？一郎がこれからもずっと幸せでありますように。 千葉県？？市 小林？子,st5,1
みすず、かな、みほがこれからもずっと一緒にいて笑顔でHAPPYに楽しく過ごしていけますように😊🤍思い出ふやしていこうね🤍　MMK,st5,1
見守ってくださいありがとうございます❤️お会いできますように…。巣立ち？を？せますように❤️　なぎさ,st5,1
真衣がUWCイタリア校で健康で安全にそしてかけがえのない充実した2年間を過ごせますように,st5,1
門間春治の次女の香繭早く縁が来ますように　田舎？と？にも縁が来ますように。長男の洋人に早く二人目が出来ますように。また昇進試験門張って下さい,st5,1
日本大学が今年は少しずつよくなるように,st5,1
勉強が得意になりますように,st4,0
消防士になれますように,st4,0
大きくなれますように,st4,0
健やかに笑顔多く育ってくれますように,st4,1
手術が上手くいきますように,st4,1
石の研究者になりたいです。クリスタルな石を見つけたいです。,st4,0
こうちゃんがこれからもすくすく元気に育ってくれますように。元気に健やかに。,st4,1
パウパトロールになりたい　元気に健康に育ちますように,st4,1
竜ヶ崎第一高等学校附属中学校に合格しますように,st4,0
真衣がUWCイタリア校で健康で安全にそしてかけがいのない充実した二年間を過ごせますように ？？区？？本町,st4,1
好き嫌いがなおりますように　そして体が強くなりますように,st4,0
お医者さんになりたい,st4,0
大きくなったら勉強一杯する,st4,0
明るく元気に健康に丈夫に育ってね,st4,1
みんな健やかに過ごせますように,st4,1
健康第一で元気に過ごせますように,st4,0
必勝,st4,1
50才を迎えて1年と11ヶ月　間もなく五十一歳を無事に進めるように足を知るで生きていけますように努力します。,st4,0
息子の大地が病気する前の様に歩ける様になりますように　ダンスをしたり走れますように,st4,1
もっと足が速くなりますように,st4,0
健康で幸せな人生を送れますように,st4,0
松山大学法学部合格　平常心,st6,0
娘の柔道インターハイ優勝　おねがいします,st6,1
松山西中等教育学校に合格しますように,st6,0
2人が健やかに仲良く育ちますように,st6,1
元気な赤ちゃんが生まれますように,st6,1
インターハイ男女優勝,st6,1
SixTONESのライブが当たり、メンバー・ファン共に無事完走できますように,st6,1
愛媛県立今治北行動学校に合格しますように．斉美高等学校にも合格しますように,st6,0
無事に元気な赤ちゃんが生まれますように,st6,1
高校受験合格,st6,0
岡山大学合格,st6,0
済美平成中等教育学校に合格しますように,st6,0
全日本カデット目指せ3勝,st6,1
志望校に合格できますように,st6,0
SixTONESにみんなが会えますように,st6,1
就職成就,st6,0
無事に出産ができますように　11/30が晴れて素敵な前撮りができますように,st6,1
助役選考試験に合格しますように。尽力いたします。宜しくお願いします．,st6,0
元気な赤ちゃんが生まれますように,st6,1
商売繁盛、売上利益倍増、身体健康、,st6,0
大学受験合格お願いします,st6,0
来年もビーファーストのみんなに会えますように。大学も受かりたいです。,st6,0
愛媛県立医療技術大学に合格,st6,0
ずっと元気でいますように,st7,1
幸せにしてみせる。笑って死にたい。,st7,1
Snow Manの岩本照君に会えますように,st7,1
Snow Manのみんな　岩本照くん Newsのみんな　増田貴久くんが幸せになりますように,st7,1
SixTONES6人がずっと幸せでいられますように,st7,1
ほんの少しの幸せが欲しい。あと一回でいいから会いたいです。,st7,0
第71代の1年間を何事もなく無事に終え、輝かしい成績を残すことができますように,st7,0
snow manのライブに行けますように,st7,0
日向坂46富田鈴花ちゃんがたくさん夢を叶えて幸せなアイドル人生を送れますように,st7,1
良縁に恵まれますように,st7,0
1日も早く良き縁に恵まれますように。幸福な結婚を望みます。,st7,0
ずっとラブラブでいようね。結婚できますように大好き。,st7,1
一生苦労なく幸せで英顔で過ごせますように,st7,1
これからも2人で仲良く楽しく過ごせますように,st7,1
Snow Man LIVE tour2020 labo 当選祈願,st7,0
お互いに楽しく末長く一緒にいれますように,st7,1
Snow Manのライブに行けますように,st7,0
幸せいっぱいで過ごせますように,st7,0
