stmt,shrine,for,area
たけちゃんが元気いっぱい育ちますように。,st2,other,urban
子供たちが元気で過ごせますように。,st2,other,urban
元気でいられますように,st2,self,urban
11/8に落ち着いて体調もよく試験が受けれます様見守って下さい。,st2,self,urban
しょうがくせいになったらおちついてがんばれますようにみまもってください,st2,self,urban
元気に笑顔で過ごせますように,st2,self,urban
勉強が楽しくできますように。,st2,self,urban
英語のエルサになれますように。,st2,self,urban
健康で元気にすくすく成長しますように！家族みんな仲良く過ごします！,st2,self,urban
すてきなおねえさんになれますように,st2,self,urban
これからも健康でみんな楽しく生きていけますように,st2,self,urban
みんなが仲良くできますように,st2,self,urban
足が速くなりますように,st2,self,urban
椰・家族全員が健やかに明るく過ごせますように,st2,other,urban
絶対合格 2022年度行政書士試験を受ける全ての方の合格を祈念します,st2,other,urban
純怜が元気に明るく成長しますように,st2,other,urban
みんな元気で健康に暮らせますように,st2,self,urban
学校が楽しくなりますように,st2,self,urban
芽生ちゃんが元気に過ごせますように,st2,other,urban
みんなが元気に過ごしていられますように。,st2,other,urban
一生元気でいれますように。,st2,self,urban
いつもはながよしてありがとうございます。,st2,self,urban
良い出会いがありますように。試験やりぬけますように。,st2,self,urban
父の手術が成功し、病が治りますように。,st2,other,urban
お勉強がんばります。,st2,self,urban
志望校に合格しますように,st2,self,urban
長生きできますように。,st2,self,urban
母の手術が成功し、病が治りますように。,st2,other,urban
元気で過ごせますように。,st2,self,urban
もっくんがこの地で明るく幸せな時間を安全に過ごせますように,st2,other,urban
みんな元気に,st2,other,urban
後ろ回りができますように,st2,self,urban
お人形たちが動いてほしいです。,st2,other,urban
なんでもチャレンジできましょうに,st2,self,urban
元気でいれますように,st2,self,urban
健康で楽しい日々を過ごせますように...,st2,self,urban
元気に楽しく！,st2,self,urban
どうぞ健康な身体になれますように,st2,self,urban
いつもありがとうございます 良縁成就 ,st2,self,urban
Hey!Say!JUMP 15th Anniversary LIVE TOUR 2022-2023 当選しますように。,st2,self,urban
だたかつ&のりひさ が元気に大きくなりますように,st2,other,urban
元気に健康で過ごせますように。,st2,self,urban
ギータがうまくなりますように,st2,self,urban
コロナが無くなりますように。,st2,self,urban
いつまでも健康に幸せでいますように,st2,self,urban
健康に育ちますように。楽しい人生となりますように！ (初宮詣),st2,other,urban
健康にすくすく育ちますように,st2,other,urban
雄斗さんにたっくさんの幸せが訪れます！！,st2,other,urban
サマステが当たりますように... 家族皆健康でいられますように...,st2,self,urban
2022年6月 RUEくんとお付き合いがはじまり、2022年中にラブラブ結婚生活に感謝♡,st2,other,urban
関西ジャニーズJr. フレッシュライブ Lil かんさい フレッシュ！フレッシュ！フレッシュ！ 当選・最前祈願 いっぱい笑える冬になりますように♡,st2,self,urban
健やかにたくましくすくすくと育ちますように,st2,other,urban
無事に富士山登頂そして、帰宅できます様にーーー！,st2,self,urban
平癒祈願 58歳を迎えることができました。,st2,self,urban
早稲田大学政治経済学部政治学科に合格する!,st2,self,urban
SixTONESのジェシーに会いたいです。,st2,self,urban
2022年8月27日なにわ男子デビューコンサート神席当たりますように！,st2,self,urban
縄跳びできますように,st2,self,urban
おかしいっぱいもらえますように,st2,self,urban
HAPPYな毎日とすてきなご縁がありますように...,st2,self,urban
ぼうけんしゃたち舞台 ???(海組) 成功しますように！！楽しく??ますように,st2,other,urban
元気な赤ちゃんが授かりますように。,st2,other,urban
メイケイエール号がG1レースで勝てますように。ケガ、病気をせずに引退まで走れますように。,st2,other,urban
転職活動が上手くいきますように,st2,self,urban
家移りがうまくいき新居で末長く楽しく健康に暮らしていけますように,st2,other,urban
「くまのがっこうミニコンサート 2021」ヘルマン役として千本桜のぶたいにたてますように！,st2,self,urban
ずっと一緒にいられますように！,st2,other,urban
こどもたちが立派な社会人になりますように！,st2,other,urban
みんな元気に,st2,other,urban
「PICU・小児治療室」吉沢亮様の初主演月９ドラマの成功をお祈りします。,st2,other,urban
家内安全 健康第一,st2,other,urban
コロナになりませんように。,st2,self,urban
元気に健やかに暮らせますように ダンスも上手に踊れますように,st2,self,urban
スーパーモデルになれますように,st2,self,urban
コンクールのよせんふたつともとおりますように。,st2,self,urban
これからも谷佳樹くんがお仕事に恵まれより良いご縁がずっと続きますように 楽しい思い出がいっぱいできますに♡,st2,other,urban
持病が治療しますように こどもが授かりますように,st2,self,urban
良縁に恵まれ、穏やかに過ごせる日々が訪れますように,st2,self,urban
ミニーになれますように,st2,self,urban
後遺症なく無事に回復されますように ?????,st2,other,urban
平療祈願　山本さんの病気が1日も早く完全に治りますように,st2,other,urban
ミュージカル2022年「ジョセフ・アンド・アメージング・テクニカラードリームコート」に当選しますように,st2,self,urban
自分に合った良い仕事が見つかります様に健康であります様に,st2,self,urban
合格できますように,st2,self,urban
合格祈願　女子美合格,st2,self,urban
家内安全 元気で楽しく幸せに生きる,st3,other,rural
元気な赤ちゃんが生まれますように,st3,other,rural
家内安全 健やかな1年でありますように,st3,other,rural
元気でボケないで永生き出来ます様に．ポックリ行けますように！,st3,self,rural
早くコロナがおちついて幸せにくらしていけますように,st3,other,rural
〇〇くんの合格を祈って！,st3,other,rural
足が今よりももっと走くなれますように,st3,self,rural
中学受験で第一志望に合格できますように,st3,self,rural
皆様が健康でありますように,st3,other,rural
これからも今の職場、職種で無事に働けますように。何事もなく無事に過ごせ、自分の希望通りに生きられますように。家内安全・交通安全・無病息災・気持平穏,st3,self,rural
家内安全,st3,other,rural
ピアノ上手になれますように。漢字上手になれますように。,st3,self,rural
学業成就合格祈願,st5,other,urban
全運UPしますように,st5,other,urban
プロアイスリーガとして成功し、幸せな人生が送れます？？？,st5,other,urban
〇〇がいつまでもずーっと幸せで仲良く過ごせますように・・・＊今年もたくさんあそぼうね💓いつも沢山の笑顔をありがとう‼︎ MMK,st5,other,urban
〇〇の留学が、周りの人々に恵まれ、事故、病気、けが無く、充実したものになりますように。,st5,other,urban
令和5年2月5日 社会福祉士国家試験に合格し、ソーシャルワーカーとして、時代や名助けを必要とする方々のために、役割を全うすることができますように。令和4年10月1日,st5,other,urban
〇〇のカナダ留学無事に楽しく有意義に充実したものになりますように。母より,st5,other,urban
〇〇が菅報に乗りますように 2021年8月,st5,other,urban
キチンとした生活リズムでくらせる様になりたい。いつも病気と隣合わせの人とも仲良く付き合い、健康でいたい。令和4年1月15日,st5,self,urban
〇〇が1年間、イギリスで健康に過ごせますように。コロナ、サル痘にかかりませんように‼︎　2022/7/32,st5,other,urban
家族みんなが健康で幸せでありますように。大金が手に入りますように（宝くじ億単位当たりますように） 千葉県？？市？？村上 はるみ,st5,other,urban
〇〇の米国留学が実り多く、最高の1年となりますよう、お願い申し上げます。無事帰国！ 千葉県？？市,st5,other,urban
（株）トリニテジャパン代表？？？？が完全回復して一日も早く社会復帰できるよう救ってください。最短・最良の状態で回復させて下さい。2022年11月16日 高橋美？子,st5,other,urban
東京都文京区より、イギリス留学2022.8/27~2023.7/26楽しく過ごせます様に,st5,other,urban
泡沫パーティーズ 全国制覇 さきすき最高,st5,other,urban
Snow Manのみんながこの先健康に過ごせますように 令和4年1月22日 宮上？？,st5,other,urban
慶應義塾大学文学部に現役で合格できますように。令和四年一月四日 関根理子,st5,self,urban
安全で充実したアメリカ留学になりますように。令和4年8月3日 ？？美空,st5,other,urban
坂本勇人選手が日本一の主将になれますように。？？？？の筋が回復しますように…。2022325　ちよ,st5,other,urban
？？の病気が早く治り、また家族皆で平穏に暮らせますように、？？、？一郎がこれからもずっと幸せでありますように。 千葉県？？市 小林？子,st5,other,urban
みすず、かな、みほがこれからもずっと一緒にいて笑顔でHAPPYに楽しく過ごしていけますように😊🤍思い出ふやしていこうね🤍　MMK,st5,other,urban
見守ってくださいありがとうございます❤️お会いできますように…。巣立ち？を？せますように❤️　なぎさ,st5,other,urban
真衣がUWCイタリア校で健康で安全にそしてかけがえのない充実した2年間を過ごせますように,st5,other,urban
門間春治の次女の香繭早く縁が来ますように　田舎？と？にも縁が来ますように。長男の洋人に早く二人目が出来ますように。また昇進試験門張って下さい,st5,other,urban
日本大学が今年は少しずつよくなるように,st5,other,urban
勉強が得意になりますように,st4,self,rural
消防士になれますように,st4,self,rural
大きくなれますように,st4,self,rural
健やかに笑顔多く育ってくれますように,st4,other,rural
手術が上手くいきますように,st4,other,rural
石の研究者になりたいです。クリスタルな石を見つけたいです。,st4,self,rural
こうちゃんがこれからもすくすく元気に育ってくれますように。元気に健やかに。,st4,other,rural
パウパトロールになりたい　元気に健康に育ちますように,st4,other,rural
竜ヶ崎第一高等学校附属中学校に合格しますように,st4,self,rural
真衣がUWCイタリア校で健康で安全にそしてかけがいのない充実した二年間を過ごせますように ？？区？？本町,st4,other,rural
好き嫌いがなおりますように　そして体が強くなりますように,st4,self,rural
お医者さんになりたい,st4,self,rural
大きくなったら勉強一杯する,st4,self,rural
明るく元気に健康に丈夫に育ってね,st4,other,rural
みんな健やかに過ごせますように,st4,other,rural
健康第一で元気に過ごせますように,st4,self,rural
必勝,st4,other,rural
50才を迎えて1年と11ヶ月　間もなく五十一歳を無事に進めるように足を知るで生きていけますように努力します。,st4,self,rural
息子の大地が病気する前の様に歩ける様になりますように　ダンスをしたり走れますように,st4,other,rural
もっと足が速くなりますように,st4,self,rural
健康で幸せな人生を送れますように,st4,self,rural
松山大学法学部合格　平常心,st6,self,rural
娘の柔道インターハイ優勝　おねがいします,st6,other,rural
松山西中等教育学校に合格しますように,st6,self,rural
2人が健やかに仲良く育ちますように,st6,other,rural
元気な赤ちゃんが生まれますように,st6,other,rural
インターハイ男女優勝,st6,other,rural
SixTONESのライブが当たり、メンバー・ファン共に無事完走できますように,st6,other,rural
愛媛県立今治北行動学校に合格しますように．斉美高等学校にも合格しますように,st6,self,rural
無事に元気な赤ちゃんが生まれますように,st6,other,rural
高校受験合格,st6,self,rural
岡山大学合格,st6,self,rural
済美平成中等教育学校に合格しますように,st6,self,rural
全日本カデット目指せ3勝,st6,other,rural
志望校に合格できますように,st6,self,rural
SixTONESにみんなが会えますように,st6,other,rural
就職成就,st6,self,rural
無事に出産ができますように　11/30が晴れて素敵な前撮りができますように,st6,other,rural
助役選考試験に合格しますように。尽力いたします。宜しくお願いします．,st6,self,rural
元気な赤ちゃんが生まれますように,st6,other,rural
商売繁盛、売上利益倍増、身体健康、,st6,self,rural
大学受験合格お願いします,st6,self,rural
来年もビーファーストのみんなに会えますように。大学も受かりたいです。,st6,self,rural
愛媛県立医療技術大学に合格,st6,self,rural
ずっと元気でいますように,st7,other,rural
幸せにしてみせる。笑って死にたい。,st7,other,rural
Snow Manの岩本照君に会えますように,st7,other,rural
Snow Manのみんな　岩本照くん Newsのみんな　増田貴久くんが幸せになりますように,st7,other,rural
SixTONES6人がずっと幸せでいられますように,st7,other,rural
ほんの少しの幸せが欲しい。あと一回でいいから会いたいです。,st7,self,rural
第71代の1年間を何事もなく無事に終え、輝かしい成績を残すことができますように,st7,self,rural
snow manのライブに行けますように,st7,self,rural
日向坂46富田鈴花ちゃんがたくさん夢を叶えて幸せなアイドル人生を送れますように,st7,other,rural
良縁に恵まれますように,st7,self,rural
1日も早く良き縁に恵まれますように。幸福な結婚を望みます。,st7,self,rural
ずっとラブラブでいようね。結婚できますように大好き。,st7,other,rural
一生苦労なく幸せで英顔で過ごせますように,st7,other,rural
これからも2人で仲良く楽しく過ごせますように,st7,other,rural
Snow Man LIVE tour2020 labo 当選祈願,st7,self,rural
お互いに楽しく末長く一緒にいれますように,st7,other,rural
Snow Manのライブに行けますように,st7,self,rural
幸せいっぱいで過ごせますように,st7,self,rural
OOが一橋大学に合格できますように,st8,other,urban
OOが東京大学に合格できますように,st8,other,urban
OOとOOが希望に大学に合格できますように,st8,other,urban
私の大事な娘、OOの病気が治りますように,st8,other,urban
OOが慶應義塾大学に合格しますように,st8,other,urban
全てがうまくいきますように,st8,self,urban
平和な世界に。美味しいものが食べれますように。,st8,other,urban
KAT-TUNライブに当選しますように。,st8,self,urban
学園映画、ドラマに出演できるよう主演で出演できるよう精いっぱい頑張ります,st8,self,urban
希望の大学に合格しますように,st8,self,urban
遊戯苑が成功しますように。OOが大大大成功しますように。,st8,self,urban
OOちゃんと結婚するぞ,st8,self,urban
家族みんなが健康で幸せの多い生活と仕事ができますように,st8,other,urban
KAT-TUN live tourに当たりますように。そして、OOを無事に終えれますように,st8,self,urban
家族が健康で楽しく笑って過ごせますように。OOが無事にエジプトから帰国できますように。,st8,other,urban
会いたい人と一緒に飲めますように。お金持ちになれますように。大学卒業できますように。,st8,self,urban
明徳幼稚園に合格しますように,st8,other,urban
体調を崩さず無事に受験が終わり、楽しい春が迎えられますように,st8,self,urban
OOさんの体調が1日もはやく回復されますように。OOさんの体力が早く戻ってこれまで以上の体力になりますように。OOさんがSASUKEに出場できて実力を発揮できますように,st8,other,urban
推しにたくさん会えますように,st8,self,urban
公務員になることができました。ありがとうございます。家族みんなが健康で明るく楽しく暮らせますように。,st8,other,urban
OOさんが元気に時間を過ごせますように,st8,other,urban
好きな人と幸せになれますように,st8,self,urban
努力が実り、高校受験に合格しますように,st9,self,rural
第一志望合格,st9,self,rural
最高の結果で裁判で必ず勝訴する。,st9,self,rural
第112回看護師国家試験にクラス全員が合格しますように,st9,other,rural
第一志望に合格できますように,st9,self,rural
第一志望の学校に合格,st9,self,rural
健康で開運しますように。家族全員健康でありますように。,st9,other,rural
楽しい一年でありますように。みんな幸せでありますように。,st9,other,rural
みんなであそべますように,st9,other,rural
病気が回復しますように。就職できますように。お金が貯まりますように。,st9,self,rural
教員採用試験に合格できますように,st9,self,rural
家族全員みんな元気で過ごせますように。OOさんの方が全快しますように。,st9,other,rural
楽しく元気をモットーに,st9,self,rural
同期のOO君が出世できますように。,st9,other,rural
OO高等学校に合格しますように,st9,self,rural
推したちが健康で幸せに日々を過ごせますように,st9,other,rural
良い職場に巡り合い、家族全員が健康であり一戸建てが買えますように,st9,other,rural
無病息災,st9,other,rural
看護師国家試験に合格する,st9,self,rural
KAT-TUN LIVE 当選祈願！,st9,self,rural
平野紫耀くんとKing&princeがずっと幸せでありますように,st9,other,rural
高校受験に合格できますように,st9,self,rural
家族みんな健康で元気に過ごせますように,st9,other,rural
後悔のない一年を過ごせますように,st9,self,rural
第一志望合格,st9,self,rural
受験合格できますように,st9,self,rural
可愛くて優しい彼女ができますように,st9,self,rural
第一志望に受かりますように,st9,self,rural
King&Princeが5人でこのさきもずーっと一緒にいられますように,st9,other,rural
志望校に合格しますように。面接がうまくいきますように。,st9,self,rural
とにかく家族みんなが健康に過ごせますように,st9,other,rural
健康長寿,st9,self,rural
志望校号学するよう！良い大学入るよう！,st9,self,rural
何事も問題なく同棲生活を開始、生活していけますように。いろんなことに打ち込めますように。,st9,self,rural
自分と周りの人が健康にそして活躍できますよに,st9,other,rural
志望校に合格する,st9,self,rural
県立高校合格,st9,self,rural
家族みんなが元気で楽しく幸せに過ごせますように,st9,other,rural
家族が健康でありますように,st9,other,rural
健康長寿,st9,self,rural
家族全員病気がなく健康を！,st9,other,rural
今年こそケアマネージャーの試験に合格しますようにお願いします,st9,self,rural
すべてにおいてうまくいく,st9,self,rural
高校合格しますように,st9,self,rural
志望校合格,st9,self,rural
商売繁盛,st9,self,rural
